trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,shape_dist_traveled
38,23:27:00,23:27:00,9,2,0,0,6.0644
38,23:40:00,23:40:00,55,3,0,0,19.0227
38,23:51:00,23:51:00,39,4,0,0,29.8947
38,24:01:00,24:01:00,2,5,0,0,40.4214
38,24:14:00,24:14:00,10,6,0,0,46.3140
39,25:23:00,25:23:00,71,1,0,0,0.0000
39,25:35:00,25:35:00,9,2,0,0,6.0644
39,25:49:00,25:49:00,55,3,0,0,19.0227
39,25:59:00,25:59:00,39,4,0,0,29.8947
39,26:10:00,26:10:00,2,5,0,0,40.4214
39,26:24:00,26:24:00,10,6,0,0,46.3140
40,05:38:00,05:38:00,1,1,0,0,0.0000
40,06:06:00,06:06:00,28,2,0,0,13.6703
40,06:17:00,06:17:00,71,3,0,0,21.2801
40,06:25:00,06:25:00,9,4,0,0,27.4045
40,06:38:00,06:38:00,55,5,0,0,40.3629
40,06:49:00,06:49:00,39,6,0,0,51.2348
40,07:03:00,07:03:00,2,7,0,0,61.7616
40,07:17:00,07:17:00,10,8,0,0,67.6542
41,06:31:00,06:31:00,1,1,0,0,0.0000
41,06:57:00,06:57:00,28,2,0,0,13.6703
41,07:08:00,07:08:00,71,3,0,0,21.2801
41,07:15:00,07:15:00,9,4,0,0,27.4045
41,07:33:00,07:33:00,55,5,0,0,40.3629
41,07:43:00,07:43:00,39,6,0,0,51.2348
41,07:54:00,07:54:00,2,7,0,0,61.7616
41,08:08:00,08:08:00,10,8,0,0,67.6542
42,09:01:00,09:01:00,1,1,0,0,0.0000
42,09:27:00,09:27:00,28,2,0,0,13.6703
42,09:37:00,09:37:00,71,3,0,0,21.2801
42,09:47:00,09:47:00,9,4,0,0,27.4045
42,10:01:00,10:01:00,55,5,0,0,40.3629
42,10:11:00,10:11:00,39,6,0,0,51.2348
42,10:21:00,10:21:00,2,7,0,0,61.7616
42,10:35:00,10:35:00,10,8,0,0,67.6542
43,11:24:00,11:24:00,1,1,0,0,0.0000
43,11:50:00,11:50:00,28,2,0,0,13.6703
43,12:01:00,12:01:00,71,3,0,0,21.2801
43,12:12:00,12:12:00,9,4,0,0,27.4045
43,12:26:00,12:26:00,55,5,0,0,40.3629
43,12:36:00,12:36:00,39,6,0,0,51.2348
43,12:50:00,12:50:00,2,7,0,0,61.7616
43,13:03:00,13:03:00,10,8,0,0,67.6542
44,13:47:00,13:47:00,1,1,0,0,0.0000
44,14:13:00,14:13:00,28,2,0,0,13.6703
44,14:23:00,14:23:00,71,3,0,0,21.2801
44,14:30:00,14:30:00,9,4,0,0,27.4045
44,14:43:00,14:43:00,55,5,0,0,40.3629
44,14:54:00,14:54:00,39,6,0,0,51.2348
44,15:08:00,15:08:00,2,7,0,0,61.7616
44,15:21:00,15:21:00,10,8,0,0,67.6542
45,15:20:00,15:20:00,1,1,0,0,0.0000
45,15:47:00,15:47:00,28,2,0,0,13.6703
45,15:58:00,15:58:00,71,3,0,0,21.2801
45,16:05:00,16:05:00,9,4,0,0,27.4045
45,16:18:00,16:18:00,55,5,0,0,40.3629
45,16:29:00,16:29:00,39,6,0,0,51.2348
45,16:39:00,16:39:00,2,7,0,0,61.7616
45,16:52:00,16:52:00,10,8,0,0,67.6542
46,16:47:00,16:47:00,1,1,0,0,0.0000
46,17:14:00,17:14:00,28,2,0,0,13.6703
46,17:25:00,17:25:00,71,3,0,0,21.2801
46,17:36:00,17:36:00,9,4,0,0,27.4045
46,17:50:00,17:50:00,55,5,0,0,40.3629
46,18:00:00,18:00:00,39,6,0,0,51.2348
46,18:14:00,18:14:00,2,7,0,0,61.7616
46,18:28:00,18:28:00,10,8,0,0,67.6542
47,17:48:00,17:48:00,1,1,0,0,0.0000
47,18:14:00,18:14:00,28,2,0,0,13.6703
47,18:25:00,18:25:00,71,3,0,0,21.2801
47,18:32:00,18:32:00,9,4,0,0,27.4045
47,18:45:00,18:45:00,55,5,0,0,40.3629
47,18:56:00,18:56:00,39,6,0,0,51.2348
47,19:06:00,19:06:00,2,7,0,0,61.7616
47,19:23:00,19:23:00,10,8,0,0,67.6542
48,19:14:00,19:14:00,1,1,0,0,0.0000
48,19:40:00,19:40:00,28,2,0,0,13.6703
48,19:51:00,19:51:00,71,3,0,0,21.2801
48,19:58:00,19:58:00,9,4,0,0,27.4045
48,20:11:00,20:11:00,55,5,0,0,40.3629
48,20:22:00,20:22:00,39,6,0,0,51.2348
48,20:32:00,20:32:00,2,7,0,0,61.7616
48,20:46:00,20:46:00,10,8,0,0,67.6542
49,20:45:00,20:45:00,1,1,0,0,0.0000
49,21:11:00,21:11:00,28,2,0,0,13.6703
49,21:23:00,21:23:00,71,3,0,0,21.2801
49,21:30:00,21:30:00,9,4,0,0,27.4045
49,21:43:00,21:43:00,55,5,0,0,40.3629
49,21:54:00,21:54:00,39,6,0,0,51.2348
49,22:08:00,22:08:00,2,7,0,0,61.7616
49,22:21:00,22:21:00,10,8,0,0,67.6542
50,05:42:00,05:42:00,1,1,0,0,0.0000
50,06:08:00,06:08:00,28,2,0,0,13.6703
50,06:18:00,06:18:00,71,3,0,0,21.2801
50,06:25:00,06:25:00,9,4,0,0,27.4045
50,06:38:00,06:38:00,55,5,0,0,40.3629
50,06:49:00,06:49:00,39,6,0,0,51.2348
50,07:03:00,07:03:00,2,7,0,0,61.7616
50,07:17:00,07:17:00,10,8,0,0,67.6542
51,09:00:00,09:00:00,1,1,0,0,0.0000
51,09:26:00,09:26:00,28,2,0,0,13.6703
51,09:37:00,09:37:00,71,3,0,0,21.2801
51,09:47:00,09:47:00,9,4,0,0,27.4045
51,10:01:00,10:01:00,55,5,0,0,40.3629
51,10:11:00,10:11:00,39,6,0,0,51.2348
51,10:21:00,10:21:00,2,7,0,0,61.7616
51,10:35:00,10:35:00,10,8,0,0,67.6542
52,10:19:00,10:19:00,1,1,0,0,0.0000
52,10:45:00,10:45:00,28,2,0,0,13.6703
52,10:56:00,10:56:00,71,3,0,0,21.2801
52,11:03:00,11:03:00,9,4,0,0,27.4045
52,11:16:00,11:16:00,55,5,0,0,40.3629
52,11:26:00,11:26:00,39,6,0,0,51.2348
52,11:37:00,11:37:00,2,7,0,0,61.7616
52,11:50:00,11:50:00,10,8,0,0,67.6542
53,12:00:00,12:00:00,1,1,0,0,0.0000
53,12:26:00,12:26:00,28,2,0,0,13.6703
53,12:37:00,12:37:00,71,3,0,0,21.2801
53,12:44:00,12:44:00,9,4,0,0,27.4045
53,12:57:00,12:57:00,55,5,0,0,40.3629
53,13:12:00,13:12:00,39,6,0,0,51.2348
53,13:22:00,13:22:00,2,7,0,0,61.7616
53,13:35:00,13:35:00,10,8,0,0,67.6542
54,13:43:00,13:43:00,1,1,0,0,0.0000
54,14:09:00,14:09:00,28,2,0,0,13.6703
54,14:20:00,14:20:00,71,3,0,0,21.2801
54,14:27:00,14:27:00,9,4,0,0,27.4045
54,14:40:00,14:40:00,55,5,0,0,40.3629
54,14:51:00,14:51:00,39,6,0,0,51.2348
54,15:05:00,15:05:00,2,7,0,0,61.7616
54,15:19:00,15:19:00,10,8,0,0,67.6542
55,14:38:00,14:38:00,1,1,0,0,0.0000
55,15:04:00,15:04:00,28,2,0,0,13.6703
55,15:14:00,15:14:00,71,3,0,0,21.2801
55,15:22:00,15:22:00,9,4,0,0,27.4045
55,15:35:00,15:35:00,55,5,0,0,40.3629
55,15:46:00,15:46:00,39,6,0,0,51.2348
55,16:00:00,16:00:00,2,7,0,0,61.7616
55,16:14:00,16:14:00,10,8,0,0,67.6542
56,16:43:00,16:43:00,1,1,0,0,0.0000
56,17:09:00,17:09:00,28,2,0,0,13.6703
56,17:20:00,17:20:00,71,3,0,0,21.2801
56,17:32:00,17:32:00,9,4,0,0,27.4045
56,17:45:00,17:45:00,55,5,0,0,40.3629
56,17:56:00,17:56:00,39,6,0,0,51.2348
56,18:10:00,18:10:00,2,7,0,0,61.7616
56,18:24:00,18:24:00,10,8,0,0,67.6542
57,17:43:00,17:43:00,1,1,0,0,0.0000
57,18:09:00,18:09:00,28,2,0,0,13.6703
57,18:20:00,18:20:00,71,3,0,0,21.2801
57,18:27:00,18:27:00,9,4,0,0,27.4045
57,18:40:00,18:40:00,55,5,0,0,40.3629
57,18:51:00,18:51:00,39,6,0,0,51.2348
57,19:01:00,19:01:00,2,7,0,0,61.7616
57,19:14:00,19:14:00,10,8,0,0,67.6542
58,19:03:00,19:03:00,1,1,0,0,0.0000
58,19:29:00,19:29:00,28,2,0,0,13.6703
58,19:40:00,19:40:00,71,3,0,0,21.2801
58,19:47:00,19:47:00,9,4,0,0,27.4045
58,20:01:00,20:01:00,55,5,0,0,40.3629
58,20:16:00,20:16:00,39,6,0,0,51.2348
58,20:26:00,20:26:00,2,7,0,0,61.7616
58,20:40:00,20:40:00,10,8,0,0,67.6542
59,19:57:00,19:57:00,1,1,0,0,0.0000
59,20:23:00,20:23:00,28,2,0,0,13.6703
59,20:34:00,20:34:00,71,3,0,0,21.2801
59,20:41:00,20:41:00,9,4,0,0,27.4045
59,20:54:00,20:54:00,55,5,0,0,40.3629
59,21:05:00,21:05:00,39,6,0,0,51.2348
59,21:15:00,21:15:00,2,7,0,0,61.7616
59,21:29:00,21:29:00,10,8,0,0,67.6542
60,21:52:00,21:52:00,1,1,0,0,0.0000
60,22:18:00,22:18:00,28,2,0,0,13.6703
60,22:29:00,22:29:00,71,3,0,0,21.2801
60,22:39:00,22:39:00,9,4,0,0,27.4045
60,22:53:00,22:53:00,55,5,0,0,40.3629
60,23:03:00,23:03:00,39,6,0,0,51.2348
60,23:13:00,23:13:00,2,7,0,0,61.7616
60,23:27:00,23:27:00,10,8,0,0,67.6542
61,23:42:00,23:42:00,1,1,0,0,0.0000
61,24:08:00,24:08:00,28,2,0,0,13.6703
61,24:19:00,24:19:00,71,3,0,0,21.2801
61,24:26:00,24:26:00,9,4,0,0,27.4045
61,24:40:00,24:40:00,55,5,0,0,40.3629
61,24:50:00,24:50:00,39,6,0,0,51.2348
61,25:05:00,25:05:00,2,7,0,0,61.7616
61,25:19:00,25:19:00,10,8,0,0,67.6542
62,22:12:00,22:12:00,1,1,0,0,0.0000
62,22:41:00,22:41:00,28,2,0,0,7.6985
62,23:10:00,23:10:00,71,3,0,0,14.5943
63,24:20:00,24:20:00,1,1,0,0,0.0000
63,24:49:00,24:49:00,28,2,0,0,7.6985
63,25:18:00,25:18:00,71,3,0,0,14.5943
64,07:14:00,07:14:00,34,1,0,0,0.0000
64,07:18:00,07:18:00,96,2,0,0,2.5322
64,07:22:00,07:22:00,20,3,0,0,4.5585
64,07:29:00,07:29:00,147,4,0,0,8.5924
64,07:33:00,07:33:00,69,5,0,0,10.9932
64,07:37:00,07:37:00,98,6,0,0,12.9136
64,07:40:00,07:40:00,39635,7,0,0,13.6733
64,07:44:00,07:44:00,72,8,0,0,15.8049
64,07:51:00,07:51:00,38081,9,0,0,18.6167
64,07:57:00,07:57:00,153,10,0,0,21.6587
64,08:02:00,08:02:00,14,11,0,0,23.1356
64,08:12:00,08:12:00,106,12,0,0,28.1511
64,08:28:00,08:28:00,63,13,0,0,35.9292
65,06:14:00,06:14:00,93,1,0,0,0.0000
65,06:19:00,06:19:00,101,2,0,0,2.1631
65,06:23:00,06:23:00,67,3,0,0,4.6430
65,06:27:00,06:27:00,39472,4,0,0,7.0436
65,06:36:00,06:36:00,35,5,0,0,11.8218
65,06:42:00,06:42:00,34,6,0,0,16.1956
65,06:47:00,06:47:00,96,7,0,0,18.7576
65,06:50:00,06:50:00,20,8,0,0,20.7839
65,06:57:00,06:57:00,147,9,0,0,24.8178
65,07:01:00,07:01:00,69,10,0,0,27.2186
65,07:05:00,07:05:00,98,11,0,0,29.1390
65,07:08:00,07:08:00,39635,12,0,0,29.8987
65,07:12:00,07:12:00,72,13,0,0,32.0303
65,07:19:00,07:19:00,38081,14,0,0,34.8420
65,07:29:00,07:29:00,14,15,0,0,39.2684
65,07:39:00,07:39:00,106,16,0,0,44.2839
65,07:55:00,07:55:00,63,17,0,0,52.0619
